dataset_id,horizon_step,reference_step,feature,comparison_bars,mae,rmse,iqr_normalized_mae,correlation,final_abs_error
spy_15m,2,1,jerk,371,0.05117816711590297,0.06816639918931217,0.11362825736212914,0.9755499398847665,0.07649999999999996
spy_15m,2,1,snap,371,0.0640355795148248,0.08304071712604982,0.1313280958056292,0.9633271942490786,0.09099999999999997
spy_15m,2,1,structure,371,0.0030129380053908355,0.0035877749901650625,0.041730443287961716,0.998932181328874,0.0049000000000000155
spy_15m,2,1,kinematics,371,0.011582479784366575,0.01489850206837592,0.18055307536035195,0.9654537661928617,0.0020999999999999908
spy_15m,2,1,geometry,371,0.009389487870619946,0.011500185161992298,0.21123707245489198,0.9488653646157474,0.009000000000000008
spy_15m,2,1,information,371,0.0070239892183288416,0.008916191093278555,0.06441072185537679,0.996013391996884,0.008299999999999974
spy_15m,2,1,propagation,371,0.019659838274932614,0.024948847938874627,0.17192687603788914,0.9697638355860795,0.03399999999999992
spy_15m,2,1,cascade_bias,371,0.038870619946091645,0.05496029049229365,0.1535477777842846,0.9546780505000186,0.09430000000000005
spy_15m,2,1,scaling_exponent,371,0.06210188679245283,0.0733746946985296,0.346937915041636,0.9785550510932384,0.13130000000000008
spy_15m,4,1,pressure,371,0.00230188679245283,0.0029548443480653594,0.016777600528081853,0.9997182878603916,0.001799999999999996
spy_15m,4,1,velocity,371,0.03280512129380054,0.045933482024439296,0.04398058894463137,0.994708432152443,0.04150000000000004
spy_15m,4,1,acceleration,371,0.07883692722371968,0.10329730820017344,0.21493164455757818,0.9501755939336464,0.1404
spy_15m,4,1,jerk,371,0.09550512129380054,0.12870169671975765,0.21204511832548964,0.9173623751054167,0.0852
spy_15m,4,1,snap,371,0.10081832884097035,0.13708215334425794,0.20676441517836414,0.9047868671024087,0.055300000000000016
spy_15m,4,1,structure,371,0.007816711590296496,0.008862069753926007,0.1082647034667105,0.9956689171754656,0.007500000000000007
spy_15m,4,1,kinematics,371,0.02072452830188679,0.02621196410028461,0.32306357446433037,0.9030505065941672,0.007299999999999973
spy_15m,4,1,geometry,371,0.01583045822102426,0.01921958163070412,0.3561407923739992,0.8463154665321391,0.010599999999999998
spy_15m,4,1,information,371,0.01788544474393531,0.022477511372930407,0.1640114144331527,0.9735861629775289,0.01799999999999996
spy_15m,4,1,propagation,371,0.04370431266846361,0.05363928363919624,0.3821977496148984,0.8923013922315953,0.026699999999999946
spy_15m,4,1,cascade_bias,371,0.09373342318059298,0.12284176122917968,0.3702683119912818,0.8352081271439767,0.02210000000000001
spy_15m,4,1,scaling_exponent,371,0.1307536388140162,0.1602591484535993,0.7304672559442248,0.9108910165991407,0.2589
spy_15m,8,1,pressure,371,0.004061725067385444,0.005213017606017353,0.029604410112138806,0.9990229388777565,0.0051
spy_15m,8,1,velocity,371,0.06312614555256066,0.0872719784411025,0.08463084267671357,0.9796583396125343,0.12150000000000005
spy_15m,8,1,acceleration,371,0.12241347708894876,0.16231133223354607,0.3337335798499148,0.8840785377068966,0.2023
spy_15m,8,1,jerk,371,0.14916361185983826,0.19314961625320437,0.33118031052361957,0.8368103691065568,0.07920000000000002
spy_15m,8,1,snap,371,0.16660673854447441,0.215908140532607,0.3416873226917031,0.7967713438101537,0.1064
spy_15m,8,1,structure,371,0.012263072776280323,0.014020087629642592,0.16984865341108485,0.9900372258859641,0.014900000000000024
spy_15m,8,1,kinematics,371,0.028770350404312667,0.03658864507995701,0.44848558697291774,0.8221534610556575,0.0009000000000000119
spy_15m,8,1,geometry,371,0.022457681940700806,0.028579567843359834,0.505234689329602,0.7143029287145998,0.005500000000000005
spy_15m,8,1,information,371,0.025577897574123994,0.034791557206169846,0.23455201810292514,0.9249290420536266,0.020000000000000018
spy_15m,8,1,propagation,371,0.06418059299191374,0.07982455796249896,0.561264477410702,0.8104764275533075,0.013599999999999945
spy_15m,8,1,cascade_bias,371,0.1579846361185984,0.20257906040429183,0.6240751969922907,0.6389874804658451,0.03159999999999996
spy_15m,8,1,scaling_exponent,371,0.1713544474393531,0.21879204424598467,0.9572874158623081,0.8332328896324633,0.3669
spy_30m,1,1,pressure,371,0.0,0.0,0.0,1.0,0.0
spy_30m,1,1,velocity,371,0.0,0.0,0.0,0.9999999999999999,0.0
spy_30m,1,1,acceleration,371,0.0,0.0,0.0,1.0,0.0
spy_30m,1,1,jerk,371,0.0,0.0,0.0,1.0,0.0
spy_30m,1,1,snap,371,0.0,0.0,0.0,1.0,0.0
spy_30m,1,1,structure,371,0.0,0.0,0.0,1.0,0.0
spy_30m,1,1,kinematics,371,0.0,0.0,0.0,0.9999999999999998,0.0
spy_30m,1,1,geometry,371,0.0,0.0,0.0,1.0,0.0
spy_30m,1,1,information,371,0.0,0.0,0.0,1.0,0.0
spy_30m,1,1,propagation,371,0.0,0.0,0.0,0.9999999999999999,0.0
spy_30m,1,1,cascade_bias,371,0.0,0.0,0.0,1.0,0.0
spy_30m,1,1,scaling_exponent,371,0.0,0.0,0.0,1.0,0.0
spy_30m,2,1,pressure,371,0.0010840970350404313,0.001446139949906986,0.007985981841918463,0.9999518675401866,0.0007000000000000005
spy_30m,2,1,velocity,371,0.011686792452830191,0.015675037239280494,0.017232073802462684,0.9993289979634311,0.01040000000000002
spy_30m,2,1,acceleration,371,0.03886900269541779,0.05167130564920207,0.09519716555331323,0.987420833606567,0.059099999999999986
spy_30m,2,1,jerk,371,0.06431132075471699,0.08653490749768804,0.13005322700650554,0.9645116022998509,0.00029999999999996696
spy_30m,2,1,snap,371,0.07885687331536387,0.10786455630436971,0.15768221018869,0.9454035555049866,0.02289999999999992
spy_30m,2,1,structure,371,0.002644474393530995,0.003208315509687832,0.04349464463044398,0.9990748660577345,0.0025000000000000022
spy_30m,2,1,kinematics,371,0.013614285714285716,0.01780943676076953,0.17532885659093003,0.9607565098053358,0.0010000000000000009
spy_30m,2,1,geometry,371,0.009763072776280324,0.012369198114453871,0.23553854707552055,0.9370008419248258,0.0010999999999999899
spy_30m,2,1,information,371,0.0074,0.008777470547847417,0.054073803434417256,0.9965460665854998,0.01100000000000001
spy_30m,2,1,propagation,371,0.019357142857142857,0.02343626730810449,0.15905622725672022,0.974171816080616,0.007000000000000006
spy_30m,2,1,cascade_bias,371,0.036100808625336926,0.04681213183920955,0.1984651381271959,0.96123556174432,0.0025000000000000022
spy_30m,2,1,scaling_exponent,371,0.06165822102425876,0.07007870046426452,0.3874220611012177,0.9867502054962964,0.09089999999999998
spy_30m,4,1,pressure,371,0.001995687331536388,0.002701541937666404,0.01470119581242275,0.9997742007032583,0.0013000000000000004
spy_30m,4,1,velocity,371,0.03298382749326146,0.04512401957779407,0.048634366696050514,0.9944128126225453,0.03969999999999996
spy_30m,4,1,acceleration,371,0.07714824797843665,0.11013903416301227,0.18894990932754507,0.944576982229617,0.020899999999999974
spy_30m,4,1,jerk,371,0.10560107816711589,0.14778237642449507,0.21355121975149827,0.8988628651183149,0.0232
spy_30m,4,1,snap,371,0.11644905660377358,0.16401537039273906,0.23285154289896737,0.8769828726011627,0.007500000000000062
spy_30m,4,1,structure,371,0.006629649595687329,0.007957914909290249,0.10904028940275208,0.9951831652942587,0.006799999999999973
spy_30m,4,1,kinematics,371,0.021176280323450137,0.027289805369202412,0.2727144922530604,0.9085976259413993,0.0015000000000000568
spy_30m,4,1,geometry,371,0.015784097035040433,0.019417425552692085,0.38079848094186824,0.8550134385072752,0.013600000000000001
spy_30m,4,1,information,371,0.014545283018867922,0.018370657342973277,0.10628632092705828,0.9826951764163177,0.008500000000000008
spy_30m,4,1,propagation,371,0.042083288409703504,0.049917599217012595,0.3457953032843344,0.917054674394716,0.08120000000000005
spy_30m,4,1,cascade_bias,371,0.08469568733153639,0.10920083811867975,0.46561675278469716,0.8172486120237462,0.03799999999999998
spy_30m,4,1,scaling_exponent,371,0.10659892183288408,0.1308442841114434,0.6698015823618231,0.9144669036879185,0.14949999999999997
spy_30m,8,1,pressure,371,0.003513207547169811,0.004841509644049383,0.025879981931269332,0.9991944287674451,0.0019000000000000002
spy_30m,8,1,velocity,371,0.061452830188679246,0.08445527564874594,0.09061166350439287,0.9814655894265024,0.0393
spy_30m,8,1,acceleration,371,0.11736981132075473,0.1596946570929758,0.28745973872337677,0.8905481400326517,0.021899999999999975
spy_30m,8,1,jerk,371,0.15065175202156336,0.20243693051313416,0.30465470580700377,0.8241392655056246,0.1099
spy_30m,8,1,snap,371,0.15842857142857142,0.21201866100547673,0.3167937841003228,0.8084037724332026,0.0403
spy_30m,8,1,structure,371,0.012621563342318056,0.014882522900053602,0.20759150234075743,0.9838145824692365,0.010099999999999998
spy_30m,8,1,kinematics,371,0.029813207547169814,0.038109003470998305,0.3839434326744342,0.8317529254423502,0.03939999999999999
spy_30m,8,1,geometry,371,0.020280592991913746,0.02585307804120917,0.48927847990141743,0.7476370124025803,0.018299999999999983
spy_30m,8,1,information,371,0.02019676549865229,0.025319651339133997,0.14758323345745192,0.9675180101902798,0.04149999999999998
spy_30m,8,1,propagation,371,0.06147897574123989,0.07459957960758246,0.5051682476683638,0.8481621668829253,0.0038000000000000256
spy_30m,8,1,cascade_bias,371,0.14592183288409705,0.19112406859338082,0.8022090867734859,0.6127320973315993,0.12430000000000002
spy_30m,8,1,scaling_exponent,371,0.13544420485175201,0.18193244651336832,0.8510474700078674,0.8120189591630773,0.14500000000000002
